min,max,mean,sd,median,max_median_distance,min_median_distance,proportion_above_mean,min_index,max_index,crossings,proportion_increasing,file_num,index,previous_L,previous_R,previous_B,label
402.0867723580951,1012.7153613226418,583.4786316765383,197.9188901003333,518.5099538062951,494.20540751634667,116.42318144820001,0.45,16,5,2,0.35,109,125,1,0,0,1
56.277928959098695,513.3887191927979,426.95114486020094,145.75540211109032,507.2540803058073,6.134638886990615,450.9761513467086,0.75,16,11,6,0.5,428,5,0,0,0,0
434.2375543150001,487.78562883465486,459.34066582119505,18.339158771861356,460.8385343459299,26.947094488724986,26.600980030929747,0.5,3,18,2,0.6,257,38,0,0,0,0
502.2596310965032,511.9212943139507,507.5401315590685,2.5526602418032764,507.2989750931916,4.6223192207590955,5.0393439966883875,0.45,0,4,8,0.6,306,7,0,0,0,0
505.226616122767,756.2914739089916,577.0927663785817,61.89367127944646,556.9382785370138,199.3531953719778,51.71166241424686,0.15,1,18,3,0.45,289,27,0,1,0,0
383.44204986042905,781.5180110919666,500.69608727272737,103.26636122420261,488.59885169382625,292.9191593981404,105.1568018333972,0.45,6,2,2,0.75,157,13,0,0,1,3
202.9242439912166,520.5758437565368,448.08880151346585,98.63724860236455,502.00992920764,18.56591454889673,299.0856852164234,0.7,14,0,5,0.45,204,6,0,0,0,0
438.8087462504939,547.9639797835638,468.117156589264,29.76922553880871,459.11122990964304,88.85274987392074,20.302483659149118,0.4,6,1,2,0.5,331,37,1,0,0,1
164.06088925158076,486.8932760727844,410.97900350088713,100.57823992536251,459.8188158898604,27.074460182923985,295.7579266382796,0.75,14,11,4,0.7,340,34,0,0,0,0
380.3868669826394,958.1859786223308,565.1045648845493,180.9885942225491,507.7173904261623,450.4685881961685,127.3305234435229,0.35,18,7,6,0.3,286,16,1,0,0,1
428.0743709398919,781.9782604873232,538.8107847419476,109.37273725856004,506.8968734969352,275.08138699038795,78.82250255704332,0.35,19,7,2,0.35,304,12,1,0,0,1
69.05289063173635,623.2564883687734,464.0723283987012,181.42472045229502,535.9866894876966,87.26979888107678,466.9337988559603,0.65,5,16,2,0.6,213,18,0,1,0,2
500.8990125887491,511.7167016025208,505.8034046331043,2.6720953647018066,505.5047985546604,6.211903047860403,4.605785965911309,0.5,15,8,6,0.45,370,4,0,0,0,0
502.3359732409293,513.986945205687,507.9555253666307,3.189240702333427,508.13597499798317,5.850970207703824,5.800001757053849,0.55,6,16,4,0.55,272,5,0,0,0,0
449.15700564316336,525.9830382542369,501.621210810946,17.100557119704263,506.35257817882496,19.630460075411975,57.1955725356616,0.6,6,0,4,0.6,404,12,0,0,0,0
389.1283806763687,1000.7281643737712,505.2348089377907,165.32724965655564,427.08428036739093,573.6438840063802,37.95589969102224,0.3,11,1,2,0.45,202,28,1,0,0,1
22.298174729098708,499.2736216198821,430.6922520645975,110.55984281543488,469.22472476191075,30.04889685797133,446.92655003281203,0.8,19,16,2,0.6,431,27,0,0,0,0
