min,max,sd,min_median_distance,min_index,previous_L,previous_R,previous_B,label,file_num,index
157.19401351862444,514.502590952409,100.86792757414612,298.8432967731031,36,0,0,0,0,340,34
379.40573781722287,962.0933698017524,181.5460855222235,127.948960621129,46,1,0,0,1,286,16
427.83643137271855,781.6257121447848,109.58057658556734,79.26904136897377,48,1,0,0,1,304,12
54.524249775809096,623.743470393231,181.49460141095005,473.68937248560775,11,0,1,0,2,213,18
500.0672001214429,511.7167016025208,2.6315472229109207,5.278319914732208,37,0,0,0,0,370,4
501.365903477517,513.986945205687,3.26074673290854,6.670541422185124,16,0,0,0,0,272,5
445.02361980329886,525.9830382542369,17.57781532473972,60.5495290308512,14,0,0,0,0,404,12
388.71393683053856,1011.8582409155206,170.93272402464308,40.2407905777863,27,1,0,0,1,202,28
20.07144668414416,499.2736216198821,117.67958117487156,448.4534897652628,48,0,0,0,0,431,27
135.1814570556058,565.3171388403175,115.35932983314088,321.3283183490529,21,0,0,0,2,39,26
159.0784306001108,579.1087295050047,73.87310342982471,278.4778976544076,49,1,0,0,0,48,18
338.08604867665304,509.04187490852337,29.486374441955416,165.92517857904727,49,0,0,0,0,342,6
205.4328562573768,590.001846545791,124.80433839485796,355.1841526107776,6,0,1,0,2,70,14
437.0386778735912,696.3156289107445,55.37410025782856,61.21967713133671,22,0,0,1,3,80,11
484.12660466625096,1013.590659458886,167.79870403794357,47.56200336445761,49,0,0,0,0,372,47
80.18292864916582,512.5185523652416,142.16950227117786,424.6202709249141,42,0,0,0,0,240,7
446.4222769879641,797.8583515768894,100.21406759855948,60.93304974153307,49,1,0,0,1,47,12
381.1791336499541,1013.4700520128472,200.13845026918875,46.982888319801305,31,1,0,0,1,109,91
488.8113984398313,791.4746139389082,96.31090350718851,23.65624415595238,7,0,0,0,0,289,7
425.03593927096426,774.5369156970687,115.040516025932,28.083900191594807,32,1,0,0,1,128,109
463.9285512305418,519.3132373859667,12.982015117882542,44.36859182743973,1,0,0,0,0,94,19
203.8679673682905,515.1780615501525,92.90834114282428,302.6619364690227,47,0,0,0,0,36,3
389.6006311919863,969.7197321511252,174.46248096774738,117.51502029869528,46,1,0,0,1,258,14
501.2998308163697,510.4669349246186,2.779163700692626,4.506247800501967,26,0,0,0,0,23,9
446.44419184602566,705.7053236587175,53.74433661439238,52.561171193186,15,0,0,1,3,173,10
524.1619523309785,581.0386916274697,16.163350027778833,36.079742014129806,49,0,0,0,0,7,20
51.92224826888191,511.1228988520125,125.1245583302081,453.9798057801194,48,0,0,0,0,146,4
515.3659642104523,566.0763164657662,14.467659320402388,16.70413740407787,49,0,0,0,0,10,27
268.8144200405304,527.1915229503517,80.9769691335755,232.4619137580232,37,0,0,0,0,21,7
215.3063015937374,583.8875483219934,108.17430129408928,289.8712085179785,25,0,1,0,2,131,12
