min,max,mean,sd,max_median_distance,min_median_distance,proportion_above_mean,proportion_increasing,previous_L,previous_R,label,file_num,index,previous_B
503.6411224992536,514.5089214814457,509.3168197462925,2.5212429278790696,5.449126752898451,5.418672229293634,0.44,0.58,0,0,0,142,22,0
490.01908947470105,516.195311496323,507.4354765306709,5.885062577681235,7.169122131554673,19.00709989006731,0.6,0.46,0,0,0,265,1,0
426.4427495710058,788.5372697307475,539.0440254469222,117.18058153564188,283.8537055957544,78.24081456398739,0.32,0.32,1,0,1,115,17,0
306.28900210052296,516.8105930240262,496.0391328306502,39.56932438058272,10.994330929140062,199.52725999436316,0.9,0.46,0,0,0,13,5,0
444.6716966503517,783.2697437322323,538.6578066799725,98.09468643049853,272.9407242599141,65.65732282196655,0.28,0.4,1,0,1,148,9,0
434.4300725297053,498.5415577539661,474.79077611434144,17.93987127106738,17.305950162478496,46.80553506178234,0.58,0.7,0,0,0,362,58,0
500.3608228736471,514.3556039889091,507.0797931313854,2.733198104649641,7.087458472096898,6.9073226431651165,0.52,0.36,0,0,0,163,2,0
501.5116486724583,511.1559940750959,506.5356623641286,2.4651265688754886,4.504077114893107,5.1402682877445045,0.58,0.4,0,0,0,176,8,0
502.83010553420354,522.3327923248004,512.844882497685,4.984269911426883,9.42565434907226,10.07703244152458,0.5,0.52,0,0,0,343,28,0
456.71732879946273,654.292835712543,510.7215617421295,37.22227001639267,144.36890593930696,53.20660097377333,0.36,0.5,0,0,0,272,12,0
501.0223707687773,519.663100107433,509.4165375222443,4.131387740036252,10.979725412783182,7.661003925872535,0.42,0.52,0,0,0,311,3,0
505.8755999501315,541.0382247217063,519.2745485349379,8.741905459255868,23.40339699264007,11.759227778934758,0.4,0.42,0,0,0,86,23,0
501.1377556174003,511.6880108294321,506.7501411656677,2.0052054544934186,4.854823903996362,5.695431308035438,0.5,0.52,0,0,0,213,2,0
433.953348073248,507.7307905223304,463.34097681380297,19.494328897169304,44.697885132710326,29.079557316372075,0.48,0.6,1,0,0,338,42,0
495.0965072561636,946.3519251815096,599.6782243068546,148.41640199357684,438.8572537108685,12.398164214477504,0.3,0.46,0,0,0,206,8,0
501.83941003588507,531.6755477972971,515.9623620355515,6.446998828003398,16.492769564076866,13.343368197335169,0.46,0.36,0,0,0,374,28,0
416.3089550448181,1013.6771345541094,647.7764610706549,164.07254249203214,409.8086289735011,187.5595505357903,0.28,0.22,0,0,0,95,30,0
491.9512264215803,515.5371147940815,504.9063428541347,5.097895470605184,9.62323573174234,13.962652640758847,0.6,0.56,0,0,0,65,6,0
403.46273947903495,988.3761303332088,559.8457685216723,161.0849145756898,481.0005864676632,103.91280438651074,0.28,0.28,1,0,1,381,15,0
177.89018024882742,572.8081828963489,441.2624271587572,112.71431798258246,103.17416307213556,291.7438395753859,0.72,0.72,0,0,2,321,33,0
500.80827506215024,514.2733147088277,507.3519957439044,3.2841537434555472,6.772970742816767,6.692068903860672,0.58,0.48,0,0,0,115,1,0
381.645997985178,478.91232693428464,424.9776259700352,30.31256278421861,58.06638278346514,39.19994616564151,0.48,0.64,0,0,0,299,25,0
413.3195801460006,976.0397939805885,561.7173672042942,153.1187002952025,469.4488825110303,93.2713313235576,0.28,0.34,0,0,1,419,22,0
500.1655728618554,512.0159150724647,507.01315040132414,3.2769808903727484,4.5852091197942855,7.265133090815027,0.54,0.48,0,0,0,57,4,0
522.7441792202708,576.9052331637935,552.2882107869018,16.73425962631652,21.876449750356077,32.284604193166615,0.54,0.38,0,0,0,58,21,0
36.72606666794,627.3684971397238,466.8158678493445,190.99500140928663,67.98318767494038,522.6592427968434,0.68,0.58,0,1,2,227,14,0
383.8082543133981,476.3921609743193,428.6935312185297,29.702166857500053,50.10715538316816,42.47675127775307,0.48,0.72,0,0,0,308,22,0
