,min,max,mean,sd,median,max_median_distance,min_median_distance,proportion_above_mean,min_index,max_index,crossings,proportion_increasing,previous_L,previous_R,label
67,511.8528643377133,511.8528643377133,511.8528643377133,0.0,511.8528643377133,0.0,0.0,0.0,0,0,0,0.0,0,0,0
68,514.8593193680147,514.8593193680147,514.8593193680147,0.0,514.8593193680147,0.0,0.0,0.0,0,0,0,0.0,0,1,2
69,516.8421189599961,516.8421189599961,516.8421189599961,0.0,516.8421189599961,0.0,0.0,0.0,0,0,0,0.0,1,0,1
70,528.786440765805,528.786440765805,528.786440765805,0.0,528.786440765805,0.0,0.0,0.0,0,0,0,0.0,0,1,2
71,518.1572911971914,518.1572911971914,518.1572911971914,0.0,518.1572911971914,0.0,0.0,0.0,0,0,0,0.0,0,0,0
72,505.5846034244514,505.5846034244514,505.5846034244514,0.0,505.5846034244514,0.0,0.0,0.0,0,0,0,0.0,0,0,0
73,512.1796473652987,512.1796473652987,512.1796473652987,0.0,512.1796473652987,0.0,0.0,0.0,0,0,0,0.0,0,0,0
74,499.0691340051246,499.0691340051246,499.0691340051246,0.0,499.0691340051246,0.0,0.0,0.0,0,0,0,0.0,0,0,0
75,488.4262798412936,488.4262798412936,488.4262798412936,0.0,488.4262798412936,0.0,0.0,0.0,0,0,0,0.0,0,0,0
76,495.2176279567191,495.2176279567191,495.2176279567191,0.0,495.2176279567191,0.0,0.0,0.0,0,0,0,0.0,0,0,0
77,553.7930926901435,553.7930926901435,553.7930926901435,0.0,553.7930926901435,0.0,0.0,0.0,0,0,0,0.0,1,0,1
78,505.83748461203385,505.83748461203385,505.83748461203385,0.0,505.83748461203385,0.0,0.0,0.0,0,0,0,0.0,0,0,0
79,481.4919486492777,481.4919486492777,481.4919486492777,0.0,481.4919486492777,0.0,0.0,0.0,0,0,0,0.0,0,0,0
80,506.3425067164745,506.3425067164745,506.3425067164745,0.0,506.3425067164745,0.0,0.0,0.0,0,0,0,0.0,0,0,0
81,505.7471580539156,505.7471580539156,505.7471580539156,0.0,505.7471580539156,0.0,0.0,0.0,0,0,0,0.0,0,0,0
82,516.9440716667569,516.9440716667569,516.9440716667569,0.0,516.9440716667569,0.0,0.0,0.0,0,0,0,0.0,0,0,0
83,505.4761958330336,505.4761958330336,505.4761958330336,0.0,505.4761958330336,0.0,0.0,0.0,0,0,0,0.0,0,1,2
84,497.1537506786562,497.1537506786562,497.1537506786562,0.0,497.1537506786562,0.0,0.0,0.0,0,0,0,0.0,1,0,0
85,487.6247636040292,487.6247636040292,487.6247636040292,0.0,487.6247636040292,0.0,0.0,0.0,0,0,0,0.0,0,1,2
86,516.0169986764263,516.0169986764263,516.0169986764263,0.0,516.0169986764263,0.0,0.0,0.0,0,0,0,0.0,0,0,0
87,459.7609647099898,459.7609647099898,459.7609647099898,0.0,459.7609647099898,0.0,0.0,0.0,0,0,0,0.0,0,0,0
88,510.44171055746256,510.44171055746256,510.44171055746256,0.0,510.44171055746256,0.0,0.0,0.0,0,0,0,0.0,0,0,0
89,553.7647074779419,553.7647074779419,553.7647074779419,0.0,553.7647074779419,0.0,0.0,0.0,0,0,0,0.0,0,0,0
90,472.9056222372031,472.9056222372031,472.9056222372031,0.0,472.9056222372031,0.0,0.0,0.0,0,0,0,0.0,0,0,0
91,498.6702326853595,498.6702326853595,498.6702326853595,0.0,498.6702326853595,0.0,0.0,0.0,0,0,0,0.0,0,0,0
92,517.2771194877072,517.2771194877072,517.2771194877072,0.0,517.2771194877072,0.0,0.0,0.0,0,0,0,0.0,0,0,0
93,525.7287358428458,525.7287358428458,525.7287358428458,0.0,525.7287358428458,0.0,0.0,0.0,0,0,0,0.0,0,0,0
94,507.4544596163789,507.4544596163789,507.4544596163789,0.0,507.4544596163789,0.0,0.0,0.0,0,0,0,0.0,1,0,1
95,489.1884088334992,489.1884088334992,489.1884088334992,0.0,489.1884088334992,0.0,0.0,0.0,0,0,0,0.0,1,0,1
96,497.2195578105205,497.2195578105205,497.2195578105205,0.0,497.2195578105205,0.0,0.0,0.0,0,0,0,0.0,0,0,0
97,487.4220083536507,487.4220083536507,487.4220083536507,0.0,487.4220083536507,0.0,0.0,0.0,0,0,0,0.0,0,0,0
98,504.8389029567609,504.8389029567609,504.8389029567609,0.0,504.8389029567609,0.0,0.0,0.0,0,0,0,0.0,0,0,2
99,511.8203934350667,511.8203934350667,511.8203934350667,0.0,511.8203934350667,0.0,0.0,0.0,0,0,0,0.0,0,0,0
100,591.8168424179165,591.8168424179165,591.8168424179165,0.0,591.8168424179165,0.0,0.0,0.0,0,0,0,0.0,0,0,0
101,523.9293053370783,523.9293053370783,523.9293053370783,0.0,523.9293053370783,0.0,0.0,0.0,0,0,0,0.0,0,0,0
102,497.5062059929392,497.5062059929392,497.5062059929392,0.0,497.5062059929392,0.0,0.0,0.0,0,0,0,0.0,1,0,1
103,510.6263900631498,510.6263900631498,510.6263900631498,0.0,510.6263900631498,0.0,0.0,0.0,0,0,0,0.0,0,0,0
104,509.7667468738152,509.7667468738152,509.7667468738152,0.0,509.7667468738152,0.0,0.0,0.0,0,0,0,0.0,0,0,0
105,509.4181804637844,509.4181804637844,509.4181804637844,0.0,509.4181804637844,0.0,0.0,0.0,0,0,0,0.0,0,0,0
